"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
"        Estimate","(X)","5.4%","(X)","3.0%","7.3%"
"Norton city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","348","32","2,589","74","124"
"    Percent","","","","",""
"        Estimate","(X)","9.2%","(X)","2.9%","4.8%"
"    Male","","","","",""
"        Estimate","230","27","1,162","62","19"
"    Percent Male","","","","",""
"        Estimate","(X)","11.7%","(X)","5.3%","1.6%"
"    Female","","","","",""
"        Estimate","118","5","1,427","12","105"
"    Percent Female","","","","",""
"        Estimate","(X)","4.2%","(X)","0.8%","7.4%"
"Petersburg city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","2,788","418","22,917","1,211","1,779"
"    Percent","","","","",""
"        Estimate","(X)","15.0%","(X)","5.3%","7.8%"
"    Male","","","","",""
"        Estimate","1,304","302","9,883","534","971"
"    Percent Male","","","","",""
"        Estimate","(X)","23.2%","(X)","5.4%","9.8%"
"    Female","","","","",""
"        Estimate","1,484","116","13,034","677","808"
"    Percent Female","","","","",""
"        Estimate","(X)","7.8%","(X)","5.2%","6.2%"
"Poquoson city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","891","82","8,793","48","201"
"    Percent","","","","",""
"        Estimate","(X)","9.2%","(X)","0.5%","2.3%"
"    Male","","","","",""
"        Estimate","468","31","4,401","29","98"
"    Percent Male","","","","",""
"        Estimate","(X)","6.6%","(X)","0.7%","2.2%"
"    Female","","","","",""
"        Estimate","423","51","4,392","19","103"
"    Percent Female","","","","",""
"        Estimate","(X)","12.1%","(X)","0.4%","2.3%"
"Portsmouth city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","8,864","905","65,871","1,682","5,422"
"    Percent","","","","",""
"        Estimate","(X)","10.2%","(X)","2.6%","8.2%"
"    Male","","","","",""
"        Estimate","4,724","558","30,528","805","2,753"
"    Percent Male","","","","",""
"        Estimate","(X)","11.8%","(X)","2.6%","9.0%"
"    Female","","","","",""
"        Estimate","4,140","347","35,343","877","2,669"
"    Percent Female","","","","",""
"        Estimate","(X)","8.4%","(X)","2.5%","7.6%"
"Radford city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","7,071","185","7,396","189","311"
"    Percent","","","","",""
"        Estimate","(X)","2.6%","(X)","2.6%","4.2%"
"    Male","","","","",""
"        Estimate","2,971","42","3,436","31","150"
"    Percent Male","","","","",""
"        Estimate","(X)","1.4%","(X)","0.9%","4.4%"
"    Female","","","","",""
"        Estimate","4,100","143","3,960","158","161"
"    Percent Female","","","","",""
"        Estimate","(X)","3.5%","(X)","4.0%","4.1%"
"Richmond city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","26,567","1,566","160,965","6,942","10,331"
"    Percent","","","","",""
"        Estimate","(X)","5.9%","(X)","4.3%","6.4%"
"    Male","","","","",""
"        Estimate","11,829","937","76,055","3,552","5,237"
"    Percent Male","","","","",""
"        Estimate","(X)","7.9%","(X)","4.7%","6.9%"
"    Female","","","","",""
"        Estimate","14,738","629","84,910","3,390","5,094"
"    Percent Female","","","","",""
"        Estimate","(X)","4.3%","(X)","4.0%","6.0%"
"Roanoke city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","7,296","1,300","69,050","2,513","4,676"
"    Percent","","","","",""
"        Estimate","(X)","17.8%","(X)","3.6%","6.8%"
"    Male","","","","",""
"        Estimate","3,677","791","32,005","1,213","2,151"
"    Percent Male","","","","",""
"        Estimate","(X)","21.5%","(X)","3.8%","6.7%"
"    Female","","","","",""
"        Estimate","3,619","509","37,045","1,300","2,525"
"    Percent Female","","","","",""
"        Estimate","(X)","14.1%","(X)","3.5%","6.8%"
"Salem city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","3,391","47","17,252","297","701"
"    Percent","","","","",""
"        Estimate","(X)","1.4%","(X)","1.7%","4.1%"
"    Male","","","","",""
"        Estimate","1,648","0","8,067","90","351"
"    Percent Male","","","","",""
"        Estimate","(X)","0.0%","(X)","1.1%","4.4%"
"    Female","","","","",""
"        Estimate","1,743","47","9,185","207","350"
"    Percent Female","","","","",""
"        Estimate","(X)","2.7%","(X)","2.3%","3.8%"
"Staunton city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","2,382","178","18,446","353","817"
"    Percent","","","","",""
"        Estimate","(X)","7.5%","(X)","1.9%","4.4%"
"    Male","","","","",""
"        Estimate","785","100","8,560","216","575"
"    Percent Male","","","","",""
"        Estimate","(X)","12.7%","(X)","2.5%","6.7%"
"    Female","","","","",""
"        Estimate","1,597","78","9,886","137","242"
"    Percent Female","","","","",""
"        Estimate","(X)","4.9%","(X)","1.4%","2.4%"
"Suffolk city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","7,635","787","66,126","2,089","3,353"
"    Percent","","","","",""
"        Estimate","(X)","10.3%","(X)","3.2%","5.1%"
"    Male","","","","",""
"        Estimate","3,971","411","31,533","1,031","1,531"
"    Percent Male","","","","",""
"        Estimate","(X)","10.4%","(X)","3.3%","4.9%"
"    Female","","","","",""
"        Estimate","3,664","376","34,593","1,058","1,822"
"    Percent Female","","","","",""
"        Estimate","(X)","10.3%","(X)","3.1%","5.3%"
"Virginia Beach city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","38,835","3,626","317,225","5,686","11,228"
"    Percent","","","","",""
"        Estimate","(X)","9.3%","(X)","1.8%","3.5%"
"    Male","","","","",""
"        Estimate","20,465","2,035","152,149","2,785","5,685"
"    Percent Male","","","","",""
"        Estimate","(X)","9.9%","(X)","1.8%","3.7%"
"    Female","","","","",""
"        Estimate","18,370","1,591","165,076","2,901","5,543"
"    Percent Female","","","","",""
"        Estimate","(X)","8.7%","(X)","1.8%","3.4%"
"Waynesboro city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","1,468","88","16,015","735","1,021"
"    Percent","","","","",""
"        Estimate","(X)","6.0%","(X)","4.6%","6.4%"
"    Male","","","","",""
"        Estimate","696","50","7,422","405","438"
"    Percent Male","","","","",""
"        Estimate","(X)","7.2%","(X)","5.5%","5.9%"
"    Female","","","","",""
"        Estimate","772","38","8,593","330","583"
"    Percent Female","","","","",""
"        Estimate","(X)","4.9%","(X)","3.8%","6.8%"
"Williamsburg city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","6,339","92","7,597","195","329"
"    Percent","","","","",""
"        Estimate","(X)","1.5%","(X)","2.6%","4.3%"
"    Male","","","","",""
"        Estimate","2,777","61","3,592","121","161"
"    Percent Male","","","","",""
"        Estimate","(X)","2.2%","(X)","3.4%","4.5%"
"    Female","","","","",""
"        Estimate","3,562","31","4,005","74","168"
"    Percent Female","","","","",""
"        Estimate","(X)","0.9%","(X)","1.8%","4.2%"
"Winchester city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","3,146","369","18,559","1,076","1,422"
"    Percent","","","","",""
"        Estimate","(X)","11.7%","(X)","5.8%","7.7%"
"    Male","","","","",""
"        Estimate","1,503","143","9,167","500","786"
"    Percent Male","","","","",""
"        Estimate","(X)","9.5%","(X)","5.5%","8.6%"
"    Female","","","","",""
"        Estimate","1,643","226","9,392","576","636"
"    Percent Female","","","","",""
"        Estimate","(X)","13.8%","(X)","6.1%","6.8%"
"Adams County, Washington","","","","",""
"    Total","","","","",""
"        Estimate","2,113","481","11,332","2,510","897"
"    Percent","","","","",""
"        Estimate","(X)","22.8%","(X)","22.1%","7.9%"
"    Male","","","","",""
"        Estimate","1,138","210","5,757","1,428","486"
"    Percent Male","","","","",""
"        Estimate","(X)","18.5%","(X)","24.8%","8.4%"
"    Female","","","","",""
"        Estimate","975","271","5,575","1,082","411"
"    Percent Female","","","","",""
"        Estimate","(X)","27.8%","(X)","19.4%","7.4%"
"Asotin County, Washington","","","","",""
"    Total","","","","",""
"        Estimate","1,638","263","16,393","412","906"
"    Percent","","","","",""
"        Estimate","(X)","16.1%","(X)","2.5%","5.5%"
"    Male","","","","",""
"        Estimate","770","162","8,009","348","416"
"    Percent Male","","","","",""
"        Estimate","(X)","21.0%","(X)","4.3%","5.2%"
"    Female","","","","",""
"        Estimate","868","101","8,384","64","490"
"    Percent Female","","","","",""
"        Estimate","(X)","11.6%","(X)","0.8%","5.8%"
"Benton County, Washington","","","","",""
"    Total","","","","",""
"        Estimate","17,781","2,785","136,939","7,280","6,610"
"    Percent","","","","",""
"        Estimate","(X)","15.7%","(X)","5.3%","4.8%"
"    Male","","","","",""
"        Estimate","9,328","1,731","68,023","3,369","3,653"
"    Percent Male","","","","",""
"        Estimate","(X)","18.6%","(X)","5.0%","5.4%"
"    Female","","","","",""
"        Estimate","8,453","1,054","68,916","3,911","2,957"
"    Percent Female","","","","",""
"        Estimate","(X)","12.5%","(X)","5.7%","4.3%"
"Chelan County, Washington","","","","",""
"    Total","","","","",""
