"Label (Grouping)","Population 1 year and over"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.7"
"Harding County, South Dakota",""
"    Total",""
"        Estimate","1,286"
"        Margin of Error","±111"
"    Moved; within same county",""
"        Estimate","2.6%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","5.0%"
"        Margin of Error","±3.3"
"    Moved; from different  state",""
"        Estimate","3.6%"
"        Margin of Error","±4.7"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±1.7"
"Hughes County, South Dakota",""
"    Total",""
"        Estimate","17,447"
"        Margin of Error","±83"
"    Moved; within same county",""
"        Estimate","9.2%"
"        Margin of Error","±3.1"
"    Moved; from different county, same state",""
"        Estimate","7.0%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","2.7%"
"        Margin of Error","±1.2"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Hutchinson County, South Dakota",""
"    Total",""
"        Estimate","7,198"
"        Margin of Error","±37"
"    Moved; within same county",""
"        Estimate","2.5%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","6.9%"
"        Margin of Error","±2.6"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Hyde County, South Dakota",""
"    Total",""
"        Estimate","1,300"
"        Margin of Error","±110"
"    Moved; within same county",""
"        Estimate","3.4%"
"        Margin of Error","±2.8"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±2.2"
"    Moved; from different  state",""
"        Estimate","0.6%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±1.7"
"Jackson County, South Dakota",""
"    Total",""
"        Estimate","3,242"
"        Margin of Error","±25"
"    Moved; within same county",""
"        Estimate","2.8%"
"        Margin of Error","±2.4"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.5"
"Jerauld County, South Dakota",""
"    Total",""
"        Estimate","2,005"
"        Margin of Error","±15"
"    Moved; within same county",""
"        Estimate","3.1%"
"        Margin of Error","±2.5"
"    Moved; from different county, same state",""
"        Estimate","2.5%"
"        Margin of Error","±2.1"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±1.3"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±1.1"
"Jones County, South Dakota",""
"    Total",""
"        Estimate","778"
"        Margin of Error","±116"
"    Moved; within same county",""
"        Estimate","0.0%"
"        Margin of Error","±2.8"
"    Moved; from different county, same state",""
"        Estimate","1.0%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
